name	strategic-supplier	company
Accenture	1	FC023246
Amey	2	02379479
Arqiva	3	02487597
Atkins	4	00688424
Atos	5	01245534
Babcock	6	02342138
BAE Systems	7	01470151
British Telecom	8	02216369
Capgemini	9	00943935
Capita	10	02081330
Carillion	11	03782379
CGI	12	02190573
DHL	13	00528867
DXC	14	
Engie	15	00598379
Fujitsu	16	FC024070
G4S	17	04992207
IBM	18	00741598
Interserve	19	00088456
ISS Facility Services Ltd	20	00890885
Lockheed Martin	21	02372738
Microsoft	22	01624297
Mitie	23	NI057012
Motorola	24	
Oracle	25	01782505
Serco	26	02048608
Sodexo	27	00842846
Sopra Steria	28	04077975
Telereal Trillium (TT)	29	06240976
Virgin Media	30	02591237
Vodafone	31	02373469
